Group,Family,Taxon,Flora Status,FloraOfOregon_Page,Currently
Dicotyledons,Asteraceae,Packera streptanthifolia,Fully described,"Volume 2, Page 324",Bare species
Dicotyledons,Boraginaceae,Cryptantha torreyana,Fully described,,Bare species
Dicotyledons,Caryophyllaceae,Sagina subulata,Genus Note,"Volume 2, Page 563",Synonym of Sagina alexandrae
Monocotyledons,Amaryllidaceae,Allium obtusum var. obtusum,Fully described,"Volume 1, Page 141",Excluded
Monocotyledons,Asparagaceae,Dichelostemma capitatum ssp. capitatum,Fully described,"Volume 1, Page 159",Synonym of Dipterostemon capitatus ssp. capitatus
Monocotyledons,Cyperaceae,Carex brevicaulis,Fully described,"Volume 1, Page 192",Synonym of Carex zikae
Monocotyledons,Poaceae,Achnatherum hendersonii,Fully described,"Volume 1, Page 343",Synonym of Eriocoma hendersonii
Monocotyledons,Poaceae,Achnatherum hymenoides,Fully described,"Volume 1, Page 343",Synonym of Eriocoma hymenoides
Monocotyledons,Poaceae,Achnatherum lemmonii ssp. lemmonii,Fully described,"Volume 1, Page 343",Synonym of Eriocoma lemmonii ssp. lemmonii
Monocotyledons,Poaceae,Achnatherum nelsonii ssp. dorei,Fully described,"Volume 1, Page 344",Synonym of Eriocoma nelsonii ssp. dorei
Monocotyledons,Poaceae,Achnatherum nelsonii ssp. nelsonii,Fully described,"Volume 1, Page 344",Synonym of Eriocoma nelsonii ssp. nelsonii
Monocotyledons,Poaceae,Achnatherum nevadense,Fully described,"Volume 1, Page 344",Synonym of Eriocoma nevadensis
Monocotyledons,Poaceae,Achnatherum occidentale ssp. californicum,Fully described,"Volume 1, Page 345",Synonym of Eriocoma occidentalis ssp. californica
Monocotyledons,Poaceae,Achnatherum occidentale ssp. pubescens,Fully described,"Volume 1, Page 345",Synonym of Eriocoma occidentalis ssp. pubescens
Monocotyledons,Poaceae,Achnatherum pinetorum,Fully described,"Volume 1, Page 345",Synonym of Eriocoma pinetorum
Monocotyledons,Poaceae,Achnatherum richardsonii,Fully described,"Volume 1, Page 346",Synonym of Eriocoma richardsonii
Monocotyledons,Poaceae,Achnatherum thurberianum,Fully described,"Volume 1, Page 346",Synonym of Eriocoma thurberiana
Monocotyledons,Poaceae,Achnatherum wallowaense,Fully described,"Volume 1, Page 347",Synonym of Eriocoma wallowaensis
Monocotyledons,Poaceae,Achnatherum webberi,Fully described,"Volume 1, Page 347",Synonym of Eriocoma webberi
Monocotyledons,Poaceae,Bromus carinatus var. carinatus,Fully described,"Volume 1, Page 368",Synonym of Bromus sitchensis var. carinatus
Monocotyledons,Poaceae,Bromus carinatus var. marginatus,Fully described,"Volume 1, Page 369",Synonym of Bromus sitchensis var. marginatus
Monocotyledons,Poaceae,Bromus maritimus,Fully described,"Volume 1, Page 372",Synonym of Bromus sitchensis var. maritimus
Monocotyledons,Poaceae,Calamagrostis tweedyi,Fully described,"Volume 1, Page 379",Synonym of Greeneochloa tweedyi
Monocotyledons,Poaceae,Poa laxa,Fully described,"Volume 1, Page 458",Excluded
Pteridophytes,Blechnaceae,Blechnum spicant,Fully described,"Volume 1, Page 70",Synonym of Struthiopteris spicant
Pteridophytes,Pteridaceae,Adiantum aleuticum,Fully described,"Volume 1, Page 97",Bare species
Pteridophytes,Pteridaceae,Cheilanthes feei,Fully described,"Volume 1, Page 99",Synonym of Myriopteris gracilis
Pteridophytes,Pteridaceae,Cheilanthes gracillima,Fully described,"Volume 1, Page 99",Synonym of Myriopteris gracillima
Pteridophytes,Pteridaceae,Cheilanthes intertexta,Fully described,"Volume 1, Page 99",Synonym of Myriopteris intertexta
